pair_id,case_id,n_diff,n_positive_consistent,positive_fraction,sign_agreement_rate,credit_abs_sum,credit_positive_sum,c_avg_sum,reward_gap,n_eff,n_eff_ratio,topk_top10,topk_top20,topk_top30,topk_top50
sab2_2f58_h:sab2_2f58_h_s26:sab2_2f58_h_s03,sab2_2f58_h,21,8,0.38095238095238093,0.42857142857142855,24.302812576293945,12.697248697280884,20.505598783493042,17.948758602142334,2.222334070468653,0.10582543192707872,0.8480090016319438,0.9478012302097631,0.9878669345820361,1.0
sab2_2f58_h:sab2_2f58_h_s12:sab2_2f58_h_s28,sab2_2f58_h,16,7,0.4375,0.625,28.930617745034397,10.832474276423454,15.785241676028818,14.384584307670593,4.688982781356401,0.29306142383477507,0.5578930085226742,0.8571350181829608,0.9130085847688383,1.0
sab2_2f58_h:sab2_2f58_h_s01:sab2_2f58_h_s15,sab2_2f58_h,16,8,0.5,0.6875,18.322524279356003,9.381318926811218,12.962247863411903,12.727903604507446,4.726703347476951,0.29541895921730943,0.5823715493683196,0.809609438991132,0.8857686368543785,1.0
sab2_2f58_h:sab2_2f58_h_s13:sab2_2f58_h_s29,sab2_2f58_h,16,4,0.25,0.5,34.400860488414764,4.731375694274902,12.109120279550552,11.066662788391113,1.8762297508119847,0.11726435942574905,0.9262316609647612,1.0,1.0,1.0
sab2_2f58_h:sab2_2f58_h_s04:sab2_2f58_h_s17,sab2_2f58_h,16,6,0.375,0.6875,29.079945638775826,5.165692329406738,6.493425332009792,10.901009798049927,4.540222071945102,0.2837638794965689,0.5463358060311031,0.8616602490740999,0.9602316647223426,1.0
sab2_2f58_h:sab2_2f58_h_s16:sab2_2f58_h_s18,sab2_2f58_h,18,8,0.4444444444444444,0.6666666666666666,20.757630109786987,8.007797718048096,9.52741825580597,9.065589904785156,4.532417213357596,0.2518009562976442,0.5517541863793217,0.8088980966464008,0.9368500525409459,1.0
sab2_4i1n_b:sab2_4i1n_b_s16:sab2_4i1n_b_s03,sab2_4i1n_b,19,9,0.47368421052631576,0.5263157894736842,31.081443339586258,5.1824750900268555,12.071135267615318,12.561220407485962,4.13093118576722,0.21741743082985368,0.6439120322533928,0.8728886340429047,0.9761774415053939,1.0
sab2_4i1n_b:sab2_4i1n_b_s29:sab2_4i1n_b_s04,sab2_4i1n_b,20,11,0.55,0.7,23.477684020996094,5.782314777374268,11.308348894119263,10.800923347473145,5.342011067697815,0.26710055338489075,0.49845885746899343,0.73081080251976,0.8754201682231476,0.9955988561479081
sab2_4i1n_b:sab2_4i1n_b_s18:sab2_4i1n_b_s27,sab2_4i1n_b,13,6,0.46153846153846156,0.6153846153846154,17.827058792114258,4.358826637268066,9.351792335510254,9.050246715545654,4.56273357046835,0.35097950542064227,0.5313004246087077,0.7233217103983516,0.8838475189369532,1.0
sab2_4i1n_b:sab2_4i1n_b_s19:sab2_4i1n_b_s07,sab2_4i1n_b,10,6,0.6,0.8,11.79264211654663,9.232832908630371,12.532893896102905,7.280430793762207,4.768859079206401,0.4768859079206401,0.31997400769543266,0.513636302130896,0.6984194418802299,0.9581596613769993
sab2_4i1n_b:sab2_4i1n_b_s00:sab2_4i1n_b_s05,sab2_4i1n_b,14,6,0.42857142857142855,0.5714285714285714,17.970197916030884,7.254230499267578,10.348254084587097,6.4926042556762695,4.814500381155519,0.3438928843682514,0.49953422101718875,0.6824673060752935,0.9562953914305081,1.0
sab2_4i1n_b:sab2_4i1n_b_s06:sab2_4i1n_b_s23,sab2_4i1n_b,12,6,0.5,0.6666666666666666,16.213932514190674,5.865447521209717,7.008957624435425,6.216073036193848,4.34849653573275,0.36237471131106247,0.5655970964336684,0.7520614012089522,0.8792926601540477,1.0
sab2_4i1n_b:sab2_4i1n_b_s12:sab2_4i1n_b_s13,sab2_4i1n_b,17,8,0.47058823529411764,0.7058823529411765,17.43501901626587,2.873763084411621,2.7831265926361084,5.808319091796875,4.090622897456506,0.24062487632097096,0.6276782819438375,0.8875913888786566,0.967051884624434,1.0
sab2_4i1n_b:sab2_4i1n_b_s14:sab2_4i1n_b_s09,sab2_4i1n_b,13,7,0.5384615384615384,0.6923076923076923,7.312140941619873,4.186032295227051,5.696852445602417,5.348532676696777,3.78739437645617,0.29133802895816696,0.6808099926800479,0.8171185269513436,0.9036563992169269,1.0
sab2_4r2g_d:sab2_4r2g_d_s23:sab2_4r2g_d_s04,sab2_4r2g_d,31,13,0.41935483870967744,0.4838709677419355,52.06547702604439,7.053076902986504,23.266824052960146,15.647937297821045,8.153548074395985,0.2630176798192253,0.5767768300489187,0.7976484177490245,0.9490004117937734,1.0
sab2_4r2g_d:sab2_4r2g_d_s20:sab2_4r2g_d_s24,sab2_4r2g_d,28,14,0.5,0.6071428571428571,41.91840562224388,12.516280978918076,22.87957574427128,13.874266743659973,7.117172501776454,0.25418473220630194,0.5308114677095455,0.7914973968591529,0.9546249993264507,1.0
sab2_4r2g_d:sab2_4r2g_d_s12:sab2_4r2g_d_s14,sab2_4r2g_d,26,17,0.6538461538461539,0.6923076923076923,38.45034249126911,9.870778322219849,25.003552995622158,12.690334618091583,10.759150208396658,0.4138134695537176,0.40543915014705545,0.648712460035731,0.7620558792658495,0.9774302738010598
sab2_4r2g_d:sab2_4r2g_d_s01:sab2_4r2g_d_s27,sab2_4r2g_d,26,10,0.38461538461538464,0.46153846153846156,43.515414813533425,6.923694849014282,16.11826867889613,10.582956552505493,7.721389768012599,0.2969765295389461,0.4986163433910532,0.7952756054640481,0.9368020702146114,1.0
